Room ID;Name;Host ID;Neighbourhood;Room type;Room Price;Minimum nights;Number of reviews;Date last review;Number of reviews per month;Rooms rent by the host;Availibility;Updated Date;City;Country;Coordinates;Location
3229115;**STYLISH Apartment with BALCONY**;15472967;Penzing;Entire home/apt;54;1;221;08.03.2020;03.Чер;1;230;16.06.2020;Vienna;Austria;48.20168617169299, 16.310813386735866;Austria, Vienna, Penzing
3325360;Apartment  UNIVERSITÄT 1Px;5922712;Alsergrund;Entire home/apt;38;7;1;01.03.2017;0.02;10;1;16.06.2020;Vienna;Austria;48.216016153235394, 16.348197211713845;Austria, Vienna, Alsergrund
3370087;Cosy Rooftop in multicultural district;7314075;Hernals;Entire home/apt;62;2;89;16.03.2020;Січ.24;1;176;16.06.2020;Vienna;Austria;48.216913898191244, 16.336611871701265;Austria, Vienna, Hernals
4028275;Spacious Central Vienna Flat;20885116;Mariahilf;Entire home/apt;85;3;50;26.02.2020;0.72;1;164;16.06.2020;Vienna;Austria;48.19931830106577, 16.35851790600447;Austria, Vienna, Mariahilf
4072872;TheViennaApartment;21123655;Leopoldstadt;Entire home/apt;85;1;311;16.02.2020;Кві.53;1;351;16.06.2020;Vienna;Austria;48.21594881132541, 16.377267774937437;Austria, Vienna, Leopoldstadt
4150687;"Apartment ""Mon Bijou"", Vienna 12th";8062107;Meidling;Entire home/apt;42;2;239;08.03.2020;Бер.45;2;126;16.06.2020;Vienna;Austria;48.182531344361166, 16.34353182102866;Austria, Vienna, Meidling
4499950;Altbauwohnung im Herzen von Wien;23341129;Josefstadt;Entire home/apt;100;2;2;19.05.2015;0.03;1;0;16.06.2020;Vienna;Austria;48.208065386463005, 16.34663722099588;Austria, Vienna, Josefstadt
4605923;Cosy flat in great location, WIFI;21550170;Leopoldstadt;Entire home/apt;90;2;43;07.12.2019;0.64;1;156;16.06.2020;Vienna;Austria;48.21342539567474, 16.37720088567883;Austria, Vienna, Leopoldstadt
4699505;ROOFTOP CITY CENTER APT. & TERRASSE;6471411;Leopoldstadt;Entire home/apt;78;3;7;11.04.2016;0.11;2;365;16.06.2020;Vienna;Austria;48.2146435946469, 16.375842260903752;Austria, Vienna, Leopoldstadt
4763624;First Class Apartment Anna near Schönbrunner Park;21771038;Hietzing;Entire home/apt;99;7;1;06.06.2017;0.03;4;0;16.06.2020;Vienna;Austria;48.18159722449309, 16.300462922718015;Austria, Vienna, Hietzing
4814272;AP2-1 / Apartment next to the center;8908066;Brigittenau;Entire home/apt;80;3;7;24.05.2020;0.13;3;363;16.06.2020;Vienna;Austria;48.23494535153935, 16.37968460452043;Austria, Vienna, Brigittenau
4981626;60m² classic apartment for 2-4 pers. in the centre;13951194;Innere Stadt;Entire home/apt;160;1;22;02.12.2019;0.34;17;321;16.06.2020;Vienna;Austria;48.21190570091446, 16.37170729970662;Austria, Vienna, Innere Stadt
5003973;Charming for 2;18638184;Alsergrund;Entire home/apt;55;2;30;22.04.2019;0.51;1;0;16.06.2020;Vienna;Austria;48.23004726919202, 16.351778517243208;Austria, Vienna, Alsergrund
5314551;Classic Viennese flat. High ceilings. Central;22607058;Landstra§e;Entire home/apt;99;3;73;02.01.2020;Січ.15;4;90;16.06.2020;Vienna;Austria;48.20819684102356, 16.390390856989658;Austria, Vienna, Landstra§e
5382851;Apartment  Albert;27901457;Landstra§e;Entire home/apt;69;4;87;13.03.2020;Січ.38;1;136;16.06.2020;Vienna;Austria;48.199274588401046, 16.398704270002156;Austria, Vienna, Landstra§e
5626715;3 a Home away from Home;10308908;Dbling;Entire home/apt;69;2;35;13.04.2019;0.58;4;163;16.06.2020;Vienna;Austria;48.2339870118323, 16.352784062031105;Austria, Vienna, Dbling
5819983;Flat in the heart of the 7th Distr.;11643774;Neubau;Entire home/apt;48;3;13;29.12.2015;0.23;1;0;16.06.2020;Vienna;Austria;48.203059477605024, 16.34420027506788;Austria, Vienna, Neubau
5988422;New-spacious-central-lovely!;31091315;Rudolfsheim-Fnfhaus;Entire home/apt;58;3;10;20.03.2019;0.16;1;361;16.06.2020;Vienna;Austria;48.20057475710905, 16.333457494076047;Austria, Vienna, Rudolfsheim-Fnfhaus
6001857;Beautiful 80m² apartment with balcony;1029316;Rudolfsheim-Fnfhaus;Entire home/apt;68;2;16;17.02.2020;0.26;1;0;16.06.2020;Vienna;Austria;48.19877380896955, 16.3265433740176;Austria, Vienna, Rudolfsheim-Fnfhaus
6531115;Central Apartment;34159951;Brigittenau;Entire home/apt;27;26;1;22.06.2015;0.02;1;0;16.06.2020;Vienna;Austria;48.2315280822674, 16.369217868990333;Austria, Vienna, Brigittenau
6550438;CITY-INN VIENNA CENTRUM;7062487;Josefstadt;Entire home/apt;59;3;84;15.03.2020;Січ.38;1;318;16.06.2020;Vienna;Austria;48.21159755379399, 16.346997028913442;Austria, Vienna, Josefstadt
7112144;Charming Apartment close to Centre;32181724;Neubau;Entire home/apt;65;1;4;05.01.2016;0.07;1;0;16.06.2020;Vienna;Austria;48.20203057325976, 16.347596047731063;Austria, Vienna, Neubau
7294940;63m²-apartment near Naschmarkt;1446342;Mariahilf;Entire home/apt;90;2;43;08.03.2020;0.73;11;137;16.06.2020;Vienna;Austria;48.19207245420984, 16.343887833886622;Austria, Vienna, Mariahilf
7352915;Charming Studio;38528922;Whring;Entire home/apt;46;1;0;;;1;0;16.06.2020;Vienna;Austria;48.21733097412724, 16.34108167814997;Austria, Vienna, Whring
7549597;Exclusive house near city center;39435298;Whring;Entire home/apt;250;3;56;16.03.2020;01.Бер;1;235;16.06.2020;Vienna;Austria;48.233043545141555, 16.343177361930284;Austria, Vienna, Whring
7566307;Schönbrunn Feeling;1959237;Rudolfsheim-Fnfhaus;Entire home/apt;68;2;213;15.03.2020;Бер.63;1;342;16.06.2020;Vienna;Austria;48.18739735939467, 16.3216794347488;Austria, Vienna, Rudolfsheim-Fnfhaus
7570102;Souterrain Modern Flat Central;39689283;Brigittenau;Entire home/apt;45;1;1;01.08.2015;0.02;1;0;16.06.2020;Vienna;Austria;48.23156073472403, 16.36832792452517;Austria, Vienna, Brigittenau
7818766;Wohnen mit Kunst im Zentrum Wiens;41160212;Landstra§e;Entire home/apt;95;4;62;08.03.2020;01.Сер;1;187;16.06.2020;Vienna;Austria;48.2006826646759, 16.384727417896688;Austria, Vienna, Landstra§e
7906282;Lovely&Stylish Apartment in Vienna;41683434;Meidling;Entire home/apt;50;2;55;02.04.2020;01.Січ;1;364;16.06.2020;Vienna;Austria;48.185109214574254, 16.342431093899297;Austria, Vienna, Meidling
8122379;City apartment near Sankt Marx;569644;Landstra§e;Entire home/apt;39;3;150;17.03.2020;Лют.58;3;294;16.06.2020;Vienna;Austria;48.19331260291767, 16.40532308214873;Austria, Vienna, Landstra§e
9166154;Lovely Apartment in Vienna for 2-4;11292979;Ottakring;Entire home/apt;75;21;18;03.11.2018;0.43;1;365;16.06.2020;Vienna;Austria;48.20845310037283, 16.331863331510064;Austria, Vienna, Ottakring
9270213;Cottageviertel-Dachgeschosswohnung mit Terrasse;48149625;Whring;Entire home/apt;75;2;96;20.05.2020;2.0;1;141;16.06.2020;Vienna;Austria;48.2330995113912, 16.331177868043266;Austria, Vienna, Whring
9474762;Beim Prater und Riesenrad;49103048;Leopoldstadt;Entire home/apt;56;30;15;13.12.2019;0.36;2;263;16.06.2020;Vienna;Austria;48.218875590891265, 16.40309301696008;Austria, Vienna, Leopoldstadt
9899187;Huge Penthouse for 12 near city;50437533;Floridsdorf;Entire home/apt;220;2;6;22.12.2019;0.12;3;365;16.06.2020;Vienna;Austria;48.247039609459996, 16.427588112947344;Austria, Vienna, Floridsdorf
9938789;Cute & cozy flat close 2 everything;7970632;Landstra§e;Entire home/apt;55;7;0;;;1;0;16.06.2020;Vienna;Austria;48.19990553355103, 16.397041922253926;Austria, Vienna, Landstra§e
10313367;Luxury 2brm-flat residential area;53066845;Hietzing;Entire home/apt;100;13;0;;;1;363;16.06.2020;Vienna;Austria;48.178845412633365, 16.26519174490673;Austria, Vienna, Hietzing
10842330;Mariahilf Stunning City Center Apar;55753174;Mariahilf;Entire home/apt;56;4;0;;;1;0;16.06.2020;Vienna;Austria;48.20035346802367, 16.36074840439153;Austria, Vienna, Mariahilf
11161038;★Spacious Gorgeous Home★City Center-BEST Location;4695515;Innere Stadt;Entire home/apt;160;2;135;28.04.2020;Лют.58;6;269;16.06.2020;Vienna;Austria;48.21096255929569, 16.37594831639928;Austria, Vienna, Innere Stadt
11233361;Generous and cosy flat in the centre centre;16371394;Margareten;Entire home/apt;80;5;9;20.01.2020;0.29;1;15;16.06.2020;Vienna;Austria;48.19178323037432, 16.35528312944266;Austria, Vienna, Margareten
11375450;Lovely Family&Friends Central Flat;4865438;Landstra§e;Entire home/apt;109;4;23;03.01.2020;0.45;18;364;16.06.2020;Vienna;Austria;48.192627943900014, 16.389413765891597;Austria, Vienna, Landstra§e
11577181;Fully Renovated, Central, Modern;61052456;Margareten;Entire home/apt;50;4;50;05.01.2020;01.Вер;1;355;16.06.2020;Vienna;Austria;48.18553131904577, 16.362562627265834;Austria, Vienna, Margareten
11734765;Modern 2-bedroom Apart. in historic center A10;7147147;Innere Stadt;Entire home/apt;140;2;10;24.12.2019;0.4;22;215;16.06.2020;Vienna;Austria;48.21656000693079, 16.369510772245324;Austria, Vienna, Innere Stadt
11907956;Beautiful 70m² apartment in downtown;63523830;Alsergrund;Entire home/apt;99;4;79;10.12.2019;Січ.56;1;90;16.06.2020;Vienna;Austria;48.217344809264425, 16.348528021752696;Austria, Vienna, Alsergrund
12922563;OPERA B&W CITY CENTER SUITE;47034279;Wieden;Entire home/apt;42;1;321;08.06.2020;Чер.45;22;343;16.06.2020;Vienna;Austria;48.1980128021435, 16.36624288902319;Austria, Vienna, Wieden
13581622;Sunny appartment on the edge of the city centre;78394428;Mariahilf;Entire home/apt;38;3;25;29.07.2017;0.52;1;0;16.06.2020;Vienna;Austria;48.1890270999177, 16.34520973294127;Austria, Vienna, Mariahilf
13635522;Quite & sunny - Relax with view to the inner City!;11267445;Leopoldstadt;Entire home/apt;50;3;0;;;1;0;16.06.2020;Vienna;Austria;48.229185475935395, 16.395016390212614;Austria, Vienna, Leopoldstadt
